COG	GC127836	GC127826	GC127844	GC127827	GC127837	GC127845	GC127855	GC127871	GC127868	GC127847	GC127835	GC127825	GC127846	GC127856	GC127834	GC125610	GC127828	GC127838	GC127853	GC127843	GC127831	GC127852	GC127830	GC125618	GC127839	GC127829	GC125611	GC127864	GC127874	GC127832	GC127840	GC127849	GC127866	GC127848	GC125612	GC127867	GC127833	GC127841
COG0164	14358.0	25801.0	13332.0	11351.0	5997.0	6420.0	7511.0	1561.0	787.0	1463.0	9443.0	2771.0	2217.0	1098.0	17630.0	4107.0	6505.0	11227.0	1052.0	20212.0	20339.0	926.0	8521.0	940.0	9798.0	9746.0	11500.0	6542.0	1777.0	13613.0	5935.0	1945.0	1247.0	1984.0	19179.0	3467.0	15941.0	5771.0
COG3177	42042.0	30361.0	58543.0	24866.0	21334.0	15849.0	22454.0	1182.0	533.0	7605.0	34091.0	5571.0	11564.0	775.0	27745.0	10560.0	12969.0	58972.0	6337.0	34685.0	26408.0	1302.0	52429.0	1817.0	46098.0	20878.0	21254.0	10816.0	4093.0	34677.0	17543.0	12976.0	8366.0	13080.0	43288.0	9908.0	38501.0	24813.0
COG2301	16362.0	7061.0	16834.0	9737.0	9887.0	5707.0	6272.0	238.0	480.0	2802.0	16927.0	3088.0	5791.0	357.0	9516.0	4420.0	4638.0	31176.0	2684.0	11748.0	9058.0	554.0	16470.0	137.0	18212.0	8789.0	8014.0	31657.0	480.0	12381.0	8672.0	6086.0	2216.0	5455.0	17087.0	3027.0	16792.0	10439.0
2B0SP	1275.0	618.0	3199.0	1125.0	784.0	757.0	990.0	84.0	0.0	506.0	1768.0	85.0	882.0	30.0	752.0	588.0	322.0	3188.0	934.0	2544.0	1472.0	129.0	2215.0	37.0	2115.0	707.0	660.0	0.0	91.0	1373.0	807.0	1046.0	843.0	953.0	3404.0	469.0	2714.0	1475.0
COG1349	3275.0	1433.0	3712.0	1612.0	1401.0	1605.0	5191.0	126.0	31.0	1495.0	2961.0	431.0	3206.0	12.0	1716.0	728.0	659.0	6343.0	1845.0	1957.0	27487.0	141.0	2784.0	1074.0	3251.0	1432.0	1597.0	10539.0	121.0	2253.0	1693.0	2469.0	817.0	3116.0	2671.0	2481.0	3072.0	2161.0
COG0119	77971.0	83141.0	58711.0	53429.0	41050.0	30873.0	9584.0	1280.0	1092.0	5380.0	65296.0	15202.0	13483.0	252.0	65948.0	22999.0	30444.0	85496.0	6672.0	82148.0	67765.0	1279.0	53164.0	1721.0	65332.0	51122.0	38648.0	62477.0	3336.0	55736.0	38994.0	11183.0	7474.0	11535.0	86596.0	5947.0	66742.0	41400.0
COG1686	36496.0	41120.0	27926.0	28798.0	19928.0	17617.0	14978.0	532.0	655.0	5421.0	32516.0	5889.0	10689.0	562.0	35509.0	10103.0	14599.0	57000.0	5121.0	51108.0	36435.0	1122.0	21678.0	40.0	31614.0	25869.0	25927.0	16959.0	1484.0	33083.0	19037.0	10430.0	6158.0	10118.0	49167.0	6807.0	38943.0	20070.0
COG0542	97715.0	158345.0	90210.0	85274.0	41913.0	49045.0	40358.0	11194.0	2407.0	12976.0	70398.0	18321.0	25987.0	1576.0	134562.0	29173.0	46913.0	78675.0	17438.0	141663.0	146665.0	4910.0	58644.0	10257.0	71586.0	70458.0	80752.0	75926.0	21123.0	119889.0	44284.0	23245.0	11552.0	23124.0	135667.0	15748.0	111628.0	42468.0
COG0491	126626.0	84902.0	132287.0	81211.0	72028.0	51150.0	48270.0	2110.0	1851.0	14925.0	116476.0	26539.0	27589.0	2272.0	103639.0	37433.0	40715.0	183521.0	17189.0	110962.0	89592.0	4408.0	125762.0	3745.0	138153.0	82770.0	73607.0	67879.0	4381.0	113598.0	61143.0	31406.0	20098.0	30148.0	123195.0	20916.0	119160.0	70358.0
COG0696	15420.0	10173.0	23955.0	13230.0	6705.0	10081.0	13595.0	77.0	968.0	806.0	8393.0	2348.0	1659.0	2076.0	18895.0	3697.0	7585.0	16490.0	1941.0	11012.0	35669.0	1417.0	16938.0	6508.0	13857.0	8485.0	13876.0	348.0	870.0	23737.0	5572.0	672.0	2401.0	838.0	12311.0	5137.0	18446.0	6116.0
KOG3529	0.0	0.0	0.0	0.0	0.0	0.0	1473.0	0.0	2733.0	0.0	0.0	0.0	0.0	3266.0	0.0	0.0	0.0	0.0	139.0	0.0	0.0	2890.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	616.0	0.0	0.0	1645.0	0.0	0.0
COG1172	21753.0	7013.0	17445.0	10725.0	13770.0	6810.0	8406.0	53.0	417.0	4283.0	23078.0	5682.0	9846.0	116.0	10797.0	6760.0	5505.0	38097.0	2226.0	13628.0	42393.0	599.0	22628.0	44.0	24373.0	14438.0	10087.0	16785.0	357.0	14266.0	11099.0	8178.0	2368.0	8581.0	15478.0	3871.0	16477.0	13143.0
COG1629	282594.0	122415.0	460283.0	204028.0	107494.0	166587.0	44926.0	4293.0	2061.0	17320.0	164726.0	13470.0	22123.0	659.0	290202.0	71421.0	93495.0	278590.0	13968.0	155603.0	262832.0	2564.0	368514.0	112961.0	304831.0	156627.0	218495.0	2494.0	18011.0	371754.0	81647.0	27802.0	25616.0	27234.0	203718.0	17996.0	291345.0	89235.0
2DKZK	5361.0	1769.0	5417.0	2622.0	4115.0	1651.0	0.0	0.0	0.0	0.0	5668.0	1936.0	0.0	42.0	3422.0	1473.0	1363.0	9541.0	0.0	3417.0	2406.0	1.0	7026.0	0.0	6879.0	3588.0	2828.0	0.0	39.0	4623.0	2451.0	0.0	45.0	0.0	3512.0	0.0	3562.0	3438.0
COG0611	38075.0	45744.0	33164.0	27419.0	16790.0	16715.0	7265.0	385.0	177.0	2691.0	30159.0	6563.0	5387.0	198.0	38981.0	10737.0	13992.0	36124.0	2695.0	49065.0	36497.0	747.0	25358.0	664.0	32594.0	25791.0	23298.0	6898.0	865.0	31441.0	18232.0	4871.0	3118.0	4984.0	47791.0	3452.0	38692.0	18389.0
COG0859	30167.0	13182.0	27855.0	19166.0	17188.0	13221.0	4397.0	331.0	90.0	4915.0	26124.0	5629.0	9911.0	187.0	21677.0	8201.0	10299.0	44414.0	7155.0	17346.0	52291.0	952.0	30736.0	872.0	30204.0	18189.0	21024.0	258.0	1284.0	27638.0	13662.0	7202.0	3830.0	7213.0	21919.0	2504.0	27633.0	19194.0
